ID;Ruta Única;Último Cambio;ID de último transcriptor;Rechazado;Observaciones;Pdominio_ilegible;dominio;Punidad_educativa_ilegible;unidad_educativa;Pgrado_ilegible;grado;Pcontador_ilegible;contador;P1_ilegible;P1_qty_text;P2_ilegible;P2_choices;P3_ilegible;P3_choices;P4_ilegible;P4_choices;P4_other;P5_ilegible;P5_choices;P5_other;P6_ilegible;P6_choices;P7_ilegible;P7_qty_text;P8_ilegible;P8_choices;P9_ilegible;P9_choices;P9_other;P10_ilegible;P10_choices;P11_ilegible;P11_choices;P12_ilegible;P12_choices;P13_ilegible;P13_qty_text;P14_ilegible;P14_choices;P15_ilegible;P15_qty_text;P16_ilegible;P16_choices;P17_ilegible;P17_choices;P17_other;P18_ilegible;P18_choices;P19_ilegible;P19_choices;P20_ilegible;P20_choices;P21.1_ilegible;P21.1_choices;P21.2_ilegible;P21.2_choices;P21.3_ilegible;P21.3_choices;P21.4_ilegible;P21.4_choices;P21.5_ilegible;P21.5_choices;P21.6_ilegible;P21.6_choices;P21.7_ilegible;P21.7_choices;P21.8_ilegible;P21.8_choices;P21.9_ilegible;P21.9_choices;P21.9_other;P22_ilegible;P22_choices;P23_ilegible;P23_1;P23_2;P23_3;P23_4;P23_5;P23_6;P23_7;P23_other;P24_ilegible;P24_choices;P25_ilegible;P25_qty_text;P26_ilegible;P26_choices;P27_ilegible;P27_choices;P27_other;P28_ilegible;P28_choices;P29_ilegible;P29_choices;P30_ilegible;P30_1;P30_2;P30_3;P30_4;P30_5;P30_other;P31.1_ilegible;P31.1_choices;P31.2_ilegible;P31.2_choices;P31.3_ilegible;P31.3_choices;P31.4_ilegible;P31.4_choices;P31.5_ilegible;P31.5_choices;P31.6_ilegible;P31.6_choices;P32_ilegible;P32_choices;P33_ilegible;P33_choices;P34_ilegible;P34_choices;P35_ilegible;P35_choices;P36_ilegible;P36_choices;P36_other;P37_ilegible;P37_choices;P38_ilegible;P38_choices;P39_ilegible;P39_choices;P39_other;P40_ilegible;P40_choices;P40_other;P41_ilegible;P41_choices;P42_ilegible;P42_choices;P43_ilegible;P43_qty_text;P44_ilegible;P44_choices;P45_ilegible;P45_choices;P45_other;P46_ilegible;P46_choices;P46.1_ilegible;P46.1_1;P46.1_2;P46.1_3;P46.1_4;P46.1_other;P47_ilegible;P47_choices;P48_ilegible;P48_choices;P49_ilegible;P49_choices;P50_ilegible;P50_choices;P51_ilegible;P51_qty_text;P52_ilegible;P52_choices;P53_ilegible;P53_choices;P53_other;P54_ilegible;P54_choices;P55_ilegible;P55_choices;P56_ilegible;P56_choices;P57_ilegible;P57_choices;P58_ilegible;P58_choices;P59_ilegible;P59_qty_text;P60_ilegible;P60_choices;P61_ilegible;P61_choices;P61_other;P62_ilegible;P62_choices;P63_ilegible;P63_choices;P64_ilegible;P64_choices;P65_ilegible;P65_choices;P66_ilegible;P66_qty_text;P67_ilegible;P67_choices;P68_ilegible;P68_choices;P68_other;P69_ilegible;P69_choices;P70_ilegible;P70_choices;P71_ilegible;P71_choices;P72_ilegible;P72_choices;P72_other;P73_ilegible;P73_choices;P73_other;P74_ilegible;P74_choices;P75_ilegible;P75_choices;P75_other;P76_ilegible;P76_choices;P76_other;P77_ilegible;P77_choices;P78_ilegible;P78_choices;P79_ilegible;P79_qty_text;P80_ilegible;P80_choices;P81_ilegible;P81_choices;P81_other;P82_ilegible;P82_choices;P83_ilegible;P83_choices;P84_ilegible;P84_choices;P85.1_ilegible;P85.1_choices;P85.2_ilegible;P85.2_choices;P85.3_ilegible;P85.3_choices;P85.4_ilegible;P85.4_choices;P85.5_ilegible;P85.5_choices;P85.6_ilegible;P85.6_choices;P85.7_ilegible;P85.7_choices;P85.8_ilegible;P85.8_choices;P85.9_ilegible;P85.9_choices;P85.10_ilegible;P85.10_choices;P85.11_ilegible;P85.11_choices;P85.12_ilegible;P85.12_choices;P85.13_ilegible;P85.13_choices;P85.13_other;P86.1_ilegible;P86.1_choices;P86.2_ilegible;P86.2_choices;P86.3_ilegible;P86.3_choices;P86.4_ilegible;P86.4_choices;P86.4_other;P87.1_ilegible;P87.1_choices;P87.2_ilegible;P87.2_choices;P87.3_ilegible;P87.3_choices;P87.4_ilegible;P87.4_choices;P87.4_other;P88.1_ilegible;P88.1_choices;P88.2_ilegible;P88.2_choices;P88.3_ilegible;P88.3_choices;P88.4_ilegible;P88.4_choices;P88.4_other;P89.1_ilegible;P89.1_choices;P89.2_ilegible;P89.2_choices;P89.3_ilegible;P89.3_choices;P89.4_ilegible;P89.4_choices;P89.4_other;P90.1_ilegible;P90.1_choices;P90.2_ilegible;P90.2_choices;P90.3_ilegible;P90.3_choices;P90.4_ilegible;P90.4_choices;P90.5_ilegible;P90.5_choices;P90.6_ilegible;P90.6_choices;P90.7_ilegible;P90.7_choices;P90.8_ilegible;P90.8_choices;P90.9_ilegible;P90.9_choices;P90.10_ilegible;P90.10_choices;P90.11_ilegible;P90.11_choices;P90.12_ilegible;P90.12_choices;P90.13_ilegible;P90.13_choices;P90.14_ilegible;P90.14_choices;P90.15_ilegible;P90.15_choices;P90.16_ilegible;P90.16_choices;P90.17_ilegible;P90.17_choices;P90.18_ilegible;P90.18_choices;P90.19_ilegible;P90.19_choices;P91_ilegible;P91_choices;P92_ilegible;P92_choices;P93_ilegible;P93_choices;P94_ilegible;P94_choices;P95_ilegible;P95_choices;P96_ilegible;P96_choices;P97_ilegible;P97_choices;P98.1_ilegible;P98.1_choices;P98.2_ilegible;P98.2_choices;P98.3_ilegible;P98.3_choices;P99_ilegible;P99_choices;P100_ilegible;P100_choices;P101_ilegible;P101_choices;P102_ilegible;P102_choices;P103.1_ilegible;P103.1_choices;P103.2_ilegible;P103.2_choices;P104_ilegible;P104_choices;P105_ilegible;P105_choices;P106_ilegible;P106_choices;P107_ilegible;P107_choices;P108_ilegible;P108_choices;P109_ilegible;P109_choices;P110_ilegible;P110_qty_text;P111_ilegible;P111_choices;P112_ilegible;P112_choices;P113_ilegible;P113_choices;P114_ilegible;P114_choices;P115_ilegible;P115_choices;P116_ilegible;P116_choices;P117_ilegible;P117_choices;P118_ilegible;P118_choices;P119_ilegible;P119_choices;P120_ilegible;P120_choices;P121_ilegible;P121_choices;P122_ilegible;P122_choices;P123_ilegible;P123_choices;P124_ilegible;P124_choices;P125_ilegible;P125_choices;P126_ilegible;P126_qty_text;P127_ilegible;P127_choices;P128_ilegible;P128_choices;P129.1_ilegible;P129.1_choices;P129.2_ilegible;P129.2_choices;P129.3_ilegible;P129.3_choices;P129.4_ilegible;P129.4_choices;P129.5_ilegible;P129.5_choices;P129.6_ilegible;P129.6_choices;P129.7_ilegible;P129.7_choices;P129.8_ilegible;P129.8_choices;P129.9_ilegible;P129.9_choices;P129.10_ilegible;P129.10_choices
1385;d10/b3/017/ballot0008.pdf;Transcrita de forma manual;27;0;;0;10;0;17;0;2;0;2;0;14;0;2;0;1;0;4;;0;6;;0;1;0;14;0;2;0;1;;0;1;0;1;0;1;0;1;0;1;0;7;0;3;0;3;;0;1;0;1, 3;0;1;0;3;0;3;0;4;0;3;0;4;0;4;0;3;0;3;0;;Lix;0;3;0;0;0;0;0;0;1;0;;0;2;0;;0;;0;;;0;;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;4;0;1;0;14;0;2;0;10;;0;1;0;0;0;1;0;;0;1;0;1;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;3;0;4;;0;3;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;;;0;2;0;2;0;2;0;;;0;4;0;4, 3;0;3;0;;;0;5;0;7;0;7;0;;;0;5;0;4;0;4;0;;;0;4;0;4;0;3;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;0, 4;0;0, 4;0;0, 4;0;0, 4;0;0, 4;0;0, 4;0;0, 4;0;0, 4;0;0, 4;0;2;0;2;0;2;0;2;0;3;0;2;0;3;0;4;0;5;0;5;0;1;0;3;0;1;0;2;0;3;0;2;0;5;0;2;0;1;0;1;0;2;0;2;0;;0;5;0;2;0;3;0;2;0;4;0;9;0;2;0;9;0;9;0;1;0;1;0;4;0;1;0;1;0;5;0;1000;0;8;0;8;0;1;0;1;0;1;0;2;0;1;0;1;0;2;0;1;0;1;0;1
1386;d10/b3/017/ballot0009.pdf;Transcrita de forma manual;50;0;;0;10;0;17;0;2;0;9;0;14;0;1;0;1;0;5;;0;5;;0;1;0;14;0;3;0;1;;0;2;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;4;0;1;0;13;0;3;0;10;;0;2;0;0;0;0;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;1;0;2;0;;;0;4;0;4;0;4;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;4;0;4;0;;0;3;0;4;0;4;0;4;0;4;0;4;0;2;0;3;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;2;0;2;0;3;0;2;0;;0;8;0;1;0;4;0;2;0;5;0;1;0;3;0;4;0;3;0;2;0;1;0;2;0;1;0;4;0;1;0;;0;2;0;;0;1;0;1;0;2;0;1;0;1;0;9;0;1;0;2;0;2;0;1;0;1;0;1;0;2;0;6;0;3;0;4000;0;2;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
1387;d10/b3/017/ballot0010.pdf;Transcrita de forma manual;12;0;;0;70;0;17;0;2;0;10;0;13;0;2;0;1;0;1;;0;1;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;0;0;0;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;2;0;;;0;;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;;;0;4;0;4;0;4;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;4;0;5;0;4;0;5;0;4;0;5;0;4;0;5;0;4;0;5;0;4;0;5;0;4;0;5;0;4;0;5;0;4;0;5;0;4;0;2;0;2;0;3;0;1;0;2;0;8;0;1;0;1;0;4;0;1;0;1;0;3;0;1;0;2;0;3;0;3;0;2;0;1;0;4;0;1;0;3;0;2;0;;0;4;0;4;0;2;0;4;0;4;0;9;0;9;0;9;0;9;0;6;0;6;0;6;0;1;0;2;0;1;0;;0;5;0;5;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;1;0;1
1388;d10/b3/017/ballot0011.pdf;Transcrita de forma manual;17;0;;0;10;0;17;0;2;0;11;0;13;0;2;0;1;0;2;;0;5;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;0;0;0;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;1;0;2;0;;;0;4;0;4;0;2;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;1;;0;1;0;1;0;1;0;;;0;4;0;5;0;4;0;5;0;2;0;4;0;5;0;4;0;5;0;4;0;4;0;4;0;5;0;5;0;4;0;5;0;4;0;2;0;5;0;2;0;2;0;;0;1;0;3;0;3;0;3;0;4;0;1;0;5;0;2;0;2;0;1;0;2;0;5;0;1;0;3;0;1;0;2;0;6;0;3;0;2;0;;0;4;0;1;0;2;0;3;0;4;0;9;0;9;0;9;0;9;0;6;0;6;0;6;0;2;0;7;0;3;0;5000;0;1;0;8;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;2;0;1
1389;d10/b3/017/ballot0012.pdf;Transcrita de forma manual;34;0;;0;10;0;17;0;2;0;12;0;13;0;1;0;1;0;4;;0;3;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;22;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;0;0;0;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;1;0;2;0;;;0;4;0;4;0;4;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;4;0;4;0;2;0;4;0;3;0;4;0;4;0;3;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;2;0;2;0;2;0;1;0;1;0;8;0;1;0;3;0;1;0;2;0;2;0;2;0;4;0;2;0;2;0;2;0;2;0;1;0;2;0;2;0;2;0;2;0;;0;2;0;1;0;2;0;1;0;1;0;9;0;9;0;9;0;9;0;1;0;1;0;1;0;6;0;1;0;1;0;20000;0;8;0;7;0;1;0;1;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1
1390;d10/b3/017/ballot0013.pdf;Transcrita de forma manual;37;0;;0;10;0;17;0;2;0;13;0;13;0;1;0;1;0;1;;0;1;;0;2;0;1;0;;0;;;0;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;0;0;0;0;;0;;0;;0;1;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;;;0;4;0;4;0;4;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;4;0;4;0;5;0;5;0;4;0;3;0;5;0;2;0;2;0;4;0;4;0;4;0;4;0;4;0;4;0;5;0;5;0;4;0;4;0;2;0;2;0;3;0;1;0;1;0;8;0;3;0;2;0;2;0;3;0;2;0;2;0;4;0;2;0;2;0;2;0;2;0;1;0;5;0;6;0;2;0;2;0;;0;3;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;1;0;1;0;1;0;6;0;1;0;2;0;5000;0;2;0;5;0;1;0;1;0;2;0;2;0;1;0;1;0;1;0;1;0;2;0;1
1391;d10/b3/017/ballot0014.pdf;Transcrita de forma manual;19;0;;0;10;0;17;0;2;0;14;0;13;0;1;0;1;0;1;;0;1;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;0;0;0;0;;0;;0;;0;1;0;2;0;;0;;0;;;0;;0;;0;;0;1;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;;0;;;0;3;0;3;0;3;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;3;0;3;0;2;0;3;0;4;0;3;0;4;0;4;0;3;0;3;0;4;0;4;0;4;0;4;0;4;0;5;0;5;0;5;0;5;0;2;0;2;0;3;0;2;0;4;0;8;0;3;0;1;0;1;0;1;0;1;0;3;0;1;0;2;0;2;0;2;0;3;0;1;0;3;0;2;0;3;0;2;0;;0;3;0;1;0;2;0;2;0;1;0;9;0;2;0;9;0;9;0;1;0;1;0;1;0;2;0;1;0;2;0;3500;0;8;0;8;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;1;0;1
1392;d10/b3/017/ballot0015.pdf;Transcrita de forma manual;52;0;;0;10;0;17;0;2;0;15;0;14;0;1;0;1;0;1;;0;9;padre, madre, hermano;0;2;0;;0;;0;;;0;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;;0;2;0;;0;;0;;;0;;0;0;0;0;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;1;0;;;0;;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;;;0;;0;;0;;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;3;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;4;0;2;0;3;0;1;0;1;0;1;0;1;0;1;0;2;0;3;0;2;0;2;0;4;0;2;0;3;0;3;0;3;0;1;0;1;0;1;0;2;0;2;0;;0;4;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;1;0;1;0;1;0;1;0;1;0;3;0;1800;0;3;0;5;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;1;0;1
1393;d10/b3/017/ballot0016.pdf;Transcrita de forma manual;50;0;;0;10;0;17;0;2;0;16;0;14;0;2;0;1;0;4;;0;1;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;4;0;1;0;14;0;2;0;10;;0;1;0;0;0;1;0;;0;1;0;1;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;1;0;2;0;;;0;3;0;3;0;3;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;2;0;4;0;2;0;3;0;3;0;3;0;4;0;3;0;4;0;3;0;4;0;3;0;4;0;3;0;4;0;3;0;4;0;3;0;4;0;3;0;2;0;3;0;2;0;4;0;8;0;1;0;1;0;1;0;2;0;1;0;2;0;4;0;2;0;2;0;1;0;3;0;2;0;4;0;1;0;;0;2;0;;0;5;0;1;0;2;0;1;0;1;0;1;0;2;0;2;0;2;0;1;0;1;0;1;0;2;0;3;0;2;0;7000;0;8;0;8;0;1;0;1;0;2;0;2;0;1;0;1;0;1;0;1;0;1;0;1
1394;d10/b3/017/ballot0017.pdf;Transcrita de forma manual;13;0;;0;10;0;17;0;2;0;17;0;13;0;2;0;1;0;1;;0;1;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;0;0;0;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;;;0;4;0;4;0;4;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;4;0;4;0;5;0;5;0;4;0;3;0;5;0;5;0;5;0;4;0;4;0;4;0;4;0;4;0;4;0;5;0;5;0;5;0;5;0;3;0;2;0;3;0;1;0;3;0;8;0;3;0;2;0;2;0;2;0;2;0;3;0;1;0;2;0;2;0;2;0;1;0;1;0;3;0;1;0;2;0;2;0;;0;2;0;1;0;2;0;1;0;1;0;9;0;2;0;2;0;2;0;1;0;1;0;1;0;2;0;3;0;3;0;200;0;5;0;8;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;2;0;1
1395;d10/b3/017/ballot0018.pdf;Transcrita de forma manual;52;0;;0;10;0;17;0;2;0;18;0;14;0;2;0;1;0;4;;0;6;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;1;0;13;0;3;0;;;0;2;0;4;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;2;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;4;0;2;0;;0;;0;;;0;;0;0;0;0;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;2;0;2;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;1;0;;;0;;;0;;0;1;0;8;0;3;0;1;;0;2;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;1;0;2;0;;;0;4;0;4;0;4;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;4;0;4;0;4;0;4;0;3;0;3;0;4;0;3;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;3;0;4;0;2;0;2;0;3;0;1;0;;0;;0;3;0;3;0;3;0;4;0;2;0;2;0;2;0;2;0;3;0;2;0;;0;1;0;4;0;1;0;1;0;2;0;;0;5;0;1;0;2;0;1;0;1;0;2;0;2;0;2;0;2;0;1;0;1;0;1;0;1;0;1;0;1;0;;0;6;0;6;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
1396;d10/b3/017/ballot0019.pdf;Transcrita de forma manual;17;0;;0;10;0;17;0;2;0;19;0;13;0;1;0;1;0;2;;0;5;;0;2;0;;0;;0;;;0;;0;;0;;0;;0;1;0;11;0;2;0;1;;0;1;0;4;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;0;0;0;0;0;0;0;;0;2;0;;0;;0;;;0;;0;;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;0;;0;1;0;;;0;;;0;3;0;1;0;13;0;2;0;16;solo una vez por experimentar;0;2;0;0;0;0;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;;0;;0;;;0;;0;2;0;;0;2;0;;0;;0;;;0;;0;;0;;0;;;0;;;0;1;0;;;0;;;0;3;0;2;0;;0;;0;;;0;;0;;0;;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;1;0;2;0;;;0;3;0;3;0;3;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;1;0;1;0;1;0;;;0;3;0;4;0;3;0;4;0;4;0;1;0;4;0;4;0;2;0;3;0;4;0;3;0;4;0;4;0;3;0;4;0;4;0;3;0;4;0;2;0;2;0;2;0;2;0;2;0;8;0;1;0;1;0;1;0;3;0;2;0;2;0;4;0;2;0;2;0;2;0;1;0;1;0;3;0;1;0;5;0;2;0;;0;2;0;1;0;2;0;1;0;4;0;2;0;2;0;1;0;9;0;1;0;1;0;1;0;1;0;2;0;2;0;8000;0;6;0;6;0;1;0;1;0;1;0;1;0;1;0;2;0;1;0;1;0;2;0;1
